BASIN,ADMINNAME,ADMINCODE,LIMIT1,LIMIT2,LIMIT3,LIMIT4
낙동강권역,경상북도 김천시,47150,5,27.38,33.84,51.8
낙동강권역,경상북도 안동시,47170,5,49.92,67.08,93.59
낙동강권역,경상북도 구미시,47190,5,30.72,39.15,47.18
낙동강권역,경상북도 영주시,47210,5,41.98,55.18,82.08
낙동강권역,경상북도 영천시,47230,5,35.61,41.31,53.31
낙동강권역,경상북도 상주시,47250,5,27.61,39.75,58.98
낙동강권역,경상북도 문경시,47280,5,29.33,41.95,49.21
낙동강권역,경상북도 경산시,47290,5,32.5,43.12,56.35
낙동강권역,경상북도 군위군,47720,5,34.8,45.63,55.03
낙동강권역,경상북도 의성군,47730,5,37.59,48.66,64.49
낙동강권역,경상북도 청송군,47750,5,37.89,48.9,58.82
낙동강권역,경상북도 청도군,47820,5,24.75,48.44,69.95
낙동강권역,경상북도 고령군,47830,5,40.43,52.03,70.6
낙동강권역,경상북도 성주군,47840,5,33.69,54.53,67.82
낙동강권역,경상북도 칠곡군,47850,5,30.58,45.25,61.6
낙동강권역,경상북도 예천군,47900,5,35.49,40.6,59.7
낙동강권역,경상북도 봉화군,47920,5,33.19,47.07,68.47
낙동강권역,경상북도 영양군,47760,5,42.3,54.43,62.28
낙동강권역,경상남도 밀양시,48270,5,48.81,54.94,66.91
낙동강권역,경상남도 의령군,48720,5,40.14,58.99,78.89
낙동강권역,경상남도 양산시,48330,5,40.6,63.72,87.8
낙동강권역,경상남도 함안군,48730,5,50.27,64.56,94.58
낙동강권역,경상남도 창녕군,48740,5,40.82,62.76,84.28
낙동강권역,경상남도 산청군,48860,5,42.35,59.28,97.68
낙동강권역,경상남도 함양군,48870,5,43.37,61.98,87.55
낙동강권역,경상남도 거창군,48880,5,36.55,48.88,72.49
낙동강권역,경상남도 합천군,48890,5,43.07,54.51,63.66
낙동강권역,경상남도 김해시,48250,5,50.08,78.34,106.65
